,address,current-reward,total-stake,balance,pending-undelegation,txs_sum,total-lifetime-reward,staking-transaction-count,normal-transaction-count,filter
0,one19day69t6zzqrk3yr5086v9892c9ajvkw84fegv,2692.0852295443697,1304740.0,9.999999999816032e+17,0.0,1304741.0,9.999999999816059e+17,"{'jsonrpc': '2.0', 'id': 1, 'result': 19}",30,True
1,one1hz6ngvtmuxpygh59j8jtt3ef7esam0mtu8xkfz,1823.0038578956687,1304000.0,7.409999999969368e+20,0.0,1304741.0,7.409999999969368e+20,"{'jsonrpc': '2.0', 'id': 1, 'result': 5}",5,True
2,one1cqayh6zkwfa5u0u0kpl85k82wh5yk8hf579ax7,1740.4790450947846,1304739.99,1.0057048e+18,0.0,1304741.0,1.0057048000000018e+18,"{'jsonrpc': '2.0', 'id': 1, 'result': 5}",7,True
3,one1gnd8uks3qd94xx7nqq0f9st4m8v63egv6utk86,192.69866501065718,1306970.7960339999,4.521160397299611e+17,0.0,1304741.0,4.5211603972996346e+17,"{'jsonrpc': '2.0', 'id': 1, 'result': 22}",30,True
4,one1p7vywg0r72sle2gmt6gswev589029d8n86nhna,11554.819271987975,14486065.754718,6.153489024734206e+21,0.0,14486205.0,6.153489024734206e+21,"{'jsonrpc': '2.0', 'id': 1, 'result': 104}",131,True
5,one1yjdmmgswu9mlk75d7qsn2zghv7qw70kl38efgr,2121.953656126414,1304730.998769,9.9993835e+18,0.0,1304741.0,9.999383500000002e+18,"{'jsonrpc': '2.0', 'id': 1, 'result': 2}",3,True
6,one14wpwfxquk8ed3d0dxnrl7mpt42wtkv8jfcgaae,17260.482663771658,10571980.343984,1.6560159791174e+18,0.0,10571982.0,1.6560159791174172e+18,"{'jsonrpc': '2.0', 'id': 1, 'result': 24}",34,True
7,one1crh87npvru08thms387xjy5lnqa7yuet9mtv25,2893.3110044267078,2609480.799999,1.20000097362e+18,0.0,2609482.0,1.2000009736200028e+18,"{'jsonrpc': '2.0', 'id': 1, 'result': 42}",43,True
8,one1s366l90kv0x44tmtjgd6fv06npn8numm64f8j9,289.09308825124504,1306444.0,6.315509211886176e+17,0.0,1304741.0,6.315509211886196e+17,"{'jsonrpc': '2.0', 'id': 1, 'result': 20}",31,True
9,one1d8es8p4nwfp5jyqfs6q83rpnwscy5jl3f59e8q,1369.6283412005043,1304740.0,9.999999999975456e+17,0.0,1304741.0,9.99999999997547e+17,"{'jsonrpc': '2.0', 'id': 1, 'result': 3}",4,True
