,address,current-reward,total-stake,balance,pending-undelegation,txs_sum,total-lifetime-reward,staking-transaction-count,normal-transaction-count,filter
31,one1jrdu9vfms79mg5v9emaupz8y628v556yvtxxpm,11763.362270995347,8720020.452076001,1853449.1218323414,0.0,10571982.0,13250.936179338023,18.0,25.0,True
32,one1zcsfkmet56ca38qpcqp7aqsc7v7k8e8f3fggna,2311.3583200512494,2609000.0,481.99999998282874,0.0,2609482.0,2311.358320034109,16.0,28.0,True
33,one1u8xa0dw2754uwdhw5hssy5jud3qsuhnu72er6r,3301.3434595074305,2609853.499359,150000.1820228578,0.0,2759482.0,3673.0248413654044,23.0,35.0,True
34,one1v83msra6jfgyc09s2vgl0pl64855qxk6ku3lu6,3664.2425445173194,2609481.0,0.9901935957144,0.0,2609482.0,3664.232738113031,17.0,23.0,True
35,one1srnyl8sfak3reycyhkpydqh796yp95pl7z44d3,1075.4723391420837,1304961.304619,1.000000715843376,0.0,1304741.0,1296.7769588578958,6.0,8.0,True
36,one16xh2u9r4677egx4x3s0u966ave90l37hh7wq72,4.915541907099598,13233.0,3448783420.9028654,0.0,6000000000.0,-2551203341.1815925,13.0,3519.0,False
37,one14vxx9pmm9ay7vw07fvwwrmhyladvgp6fs8m22j,2199.053490486357,1304730.999999,10.0000009932502,0.0,1304741.0,2199.0534904797096,9.0,11.0,True
38,one1yjr37dgdp4wk8jnwz2w89ugvzvmutae6zylcst,155.98643547788123,1304736.999999,299.6020737081138,0.0,1303587.0,1605.5885081859306,6.0,8.0,True
39,one1j0w44dqdgk8krtvvyjzqk5shztxl645t87cpdn,175.780191460234,1304741.0,2302.16588717881,0.0,1304741.0,2477.946078639012,31.0,44.0,True
40,one1vr56495s4n452vhsze44ryr539n0373tpp6662,2487.970551396915,1304739.0,1.9999999957064,0.0,1304741.0,2487.970551392529,5.0,7.0,True
41,one16nel20zdvfwnpvgc08kwrdhjvzjdztkzxujlsl,2271.931692879027,1304739.0,1.9999999944776,0.0,1304741.0,2271.9316928735934,6.0,9.0,True
42,one1vvutwdszusa32wytz0p0r7tmvy2xrnrg0qrxhv,1850.6830719396996,1304740.0,0.0,0.0,,,,0.0,False
43,one15aawcwzly9gyvck7y7nvzq02zc8nchmvdra60p,1612.9049583047604,1304740.0,0.9963264,0.0,1304741.0,1612.9012847046833,6.0,6.0,False
44,one1slgnkz2xjkn5mttrlyhn6hqv3fn9rshzazj478,1574.3135976994436,1304740.0,0.9963184,0.0,1304741.0,1574.3099160995334,6.0,6.0,False
45,one1zkgc7un5nyn74j3mquv263s8wxrpjeawanf0se,111.70724965858855,1104000.0,202707.77573201453,0.0,1304741.0,2078.482981673209,15.0,23.0,True
46,one12t3jk8ctq0elwpj6cqyud9ycle7jmaywe6fjhy,1310.3686807771455,1111000.0,193740.9999999902,0.0,1304741.0,1310.3686807672493,11.0,16.0,False
47,one1sct5fqcaq44t5ygmpuhwq24qd3q35fqmxu4p5m,522.0827268673148,2611007.1249989998,0.6608044222285386,0.0,2609482.0,2047.86853028927,8.0,10.0,True
48,one1cwek8ffkxw0yypnf2lhhu8n2gqufjdynj0j8ug,582.884321361308,2610792.8,3.0294161164002564,0.0,2609482.0,1896.7137374775484,7.0,9.0,True
49,one1fd094898rfktel7rezmk65zql3cjzhw9zgxcff,27.291111670468993,9000.0,40999.99995098,0.0,49999.99999999999,27.291062650481763,1.0,2.0,False
50,one10jtmffnkgzhljxjk87hzahhc5edrca4d8yjjue,0.0,1294790.0,208.7753897314037,0.0,1293741.0,1257.775389731396,13.0,21.0,True
51,one1ahnewm9yjzm9ppxvrmap35xz5f92h3gesjlm5t,2045.2001466660931,1304740.98999,0.0100099981525,0.0,1304741.0,2045.2001466641668,2.0,3.0,True
52,one15nhr7u27rlenymx8cr46h52zv5dp2u933yvlcf,1569.4596753241312,1304740.0,0.0,0.0,,,,0.0,False
53,one1yfnfqpv9a39dxq5g86ec6024uwq4g25fjt550d,1477.1675993846325,1304740.0,0.9957064,0.0,1304741.0,1477.1633057845756,7.0,7.0,False
54,one1lelmvsgrjt5355jsw2gdcxw025sxk4hgp90k6k,256.2853011206615,1304740.0,0.9999999944708,0.0,1304741.0,256.285301115131,7.0,9.0,True
55,one1e3f9y6pxnw2assjzkd6lfucyj0rhzh6uhvcq55,475.9569467640382,1304740.0,0.9993847,0.0,1304741.0,475.9563314639963,1.0,1.0,False
56,one1xzdaskthnxwjt696mp6n4n7zdc9r6qrqp3ff07,11.619850962848501,866666.6799999999,3051753.3066202113,0.0,3914124.0,4307.606471174397,10.0,19.0,True
57,one1nxm5xjfw6x4cqzsuv4pkfqkc2zgvas2ct4ltkk,196.59506245608347,1304740.0,2202.2956826600457,0.0,1304741.0,2397.890745116165,20.0,22.0,True
58,one1jxktghsf3yx05mrlya7mch7l0n3u24rf430v2n,1403.1212847819695,516330.512967,31.000000020118705,789394.686315,1304741.0,2418.3205668022856,16.0,28.0,True
59,one1qa4cn2u9axkz545ys6mlzk37erl365xqmn3nxd,2162.770722141361,1304740.0,0.9999999999907926,0.0,1304741.0,2162.7707221412566,9.0,15.0,True
60,one1s9urj5w46gy3sxq0ezpyxmh0qr8cjawe97dvvu,3400.528409939791,15000.0,14999.999999997028,0.0,29999.999999999993,3400.528409936822,2.0,5.0,False
61,one18z8242mzzalyll2vttyhc8y2ktk9hggjrm4s7g,1000.0540595204316,1306000.0,0.0,0.0,,,,0.0,True
62,one1nz0ekd3delmntp8rkn2yzydwpwafwl8hgkafkr,1232.70152258903,1302199.0,1309480.3388864994,0.0,2609482.0,3430.0404090881348,18.0,30.0,True
63,one1cflwvfxvrwtjs35a94qnj3wm34vwqrce9r2q7l,234.25801348207204,1304740.5,0.8195583875143657,0.0,1303512.0,1463.577571869595,4.0,6.0,True
64,one1vj6h5vnjrjp8d89ten9qpkv46zxmceet0cr5j2,178.271004692523,2944000.0,54494.76094430109,0.0,2996233.0,2440.031948993448,41.0,49.0,False
65,one17l089gt75jq2kztad7j7s8a6qjggq4scuqztg8,1568.8276243824093,1304700.0,40.999999998154095,0.0,1304741.0,1568.8276243805885,2.0,3.0,True
66,one1gdse0vl898jjtfzza4wcrufrlhhjd9eh0nxtn6,217.2115665182593,1307970.0,48.55031118073156,0.0,1304711.0,3524.7618776990566,24.0,31.0,True
67,one1wr02pj9lx8mkltcsvth89s6d9wkpqe00z4wrpp,1602.9346469717175,1304000.0,740.9999999914128,0.0,1304741.0,1602.9346469631419,10.0,14.0,True
68,one1wmjtm4faf7vdw86wjlcyljjqt39fqme39q6dtt,2188.2909402717505,1304740.99,0.0,0.0,,,,0.0,True
69,one1cqy5aqjv4tadtkxv4d3tprfrc70fkxmy58we05,2669.1124824788753,1304739.0,0.0,0.0,,,,0.0,True
70,one1hdkkxehrstvul5hegphswl9y5dluvmate4zlh2,2503.760509552961,1304740.9,0.0999999944727,0.0,1304741.0,2503.760509547312,5.0,9.0,True
71,one1pmfa5jt2a5u42qdce45p288gu2w6jvvzjjndae,67.36893826567622,1256749.779999,49730.09552431195,0.0,1304741.0,1806.2444615776185,4.0,4.0,True
72,one1v3v4eurh5xrag5aewwqkhlnaggcn8gfhcg5rsn,1739.6616684724597,1300948.2,4650.027187791455,0.0,1304741.0,2596.8888562638313,20.0,25.0,True
73,one17k22y4pffgpfw6q06azm5za8x37hfv3hv48lel,1770.3623510645907,1304733.159999,7.8400009969304,0.0,1304741.0,1770.3623510615434,4.0,5.0,True
74,one1x4enh0s8hz22wvjfhr7he4fv78u3nrqhz3098c,1856.2179219875213,1303980.075047,760.9249529956984,0.0,1304741.0,1856.2179219832178,7.0,7.0,True
75,one15a5lcxd8lqdqh4gwgmnssnpukknrrxtguq5zy3,1392.584357122694,913318.0,391422.9999999963,0.0,1304741.0,1392.5843571189325,4.0,6.0,True
76,one1a9w2fctzpg0hhwlghukcrwttkspdwamx99ky30,523.4942567443549,1304670.0,1984.8849585911669,0.0,1304741.0,2437.3792153354734,15.0,21.0,True
77,one1suyksuyxll6duf9hjzgwk6dgyx9tn4p7qcm4cp,1659.525153874579,1304740.95,0.0499999975456,0.0,1304741.0,1659.5251538720913,4.0,4.0,True
78,one1fd9steayjcqsq0lfn44q5tw7ls623zdanhnwf9,1469.4646686180627,1304737.0,3.9999999981639998,0.0,1304741.0,1469.4646686161868,3.0,3.0,False
79,one1xlkjzp06u7mc4g4upd6af4c6nkttnam7v2a84y,1419.2516820860048,1304740.0,0.994484,0.0,1304741.0,1419.2461660860572,8.0,9.0,False
80,one1kz4vcrnzaq3epaqtwvsd3uv24cq7s563h9n2zt,77181.84959355454,0.0,76979679.99999985,0.0,76979680.0,77181.84959340096,145.0,246.0,True
81,one1t5wjlpjkxumk75ycd95zykx35f8a0wfpzavtka,1460.7460323117425,1304740.0,0.9951024,0.0,1304741.0,1460.741134711774,7.0,8.0,False
82,one19q8pzzstyq40mtpz9pm9flvh6h0jleqd6mnpek,256.9239802649686,946832.2783489999,139556.27476568954,214875.248784,1300121.0,1399.7258789543994,18.0,27.0,True
83,one1sqp29vwexhmr56vdxt282cwuv2qqhgjvrl4f5w,930.0672170769603,1304739.0,1.9999999975456,0.0,1304741.0,930.0672170745675,3.0,4.0,False
84,one1mtxyjgfjwttlq4p7hg28mkwuqytr0073fhp7q9,933.1490839366352,1304000.0,740.9999999993863,0.0,1304741.0,933.1490839361213,1.0,1.0,False
85,one19temw3kecfdle5dszrqpe9fsqcrskxczep6ml5,932.6814656950733,1304740.0,0.9999999987728,0.0,1304741.0,932.6814656937495,2.0,2.0,False
86,one1d0sgw9w2tkk9qlp93w6uc9zpxh05lnwp2fa02r,2825.226359816463,9267239.998157,0.9981547,0.0,9267241.0,2825.2226715162396,6.0,6.0,False
87,one14ttr743epgnawzuyqz57exm3lylgjm8vud68xj,476.3277323876873,2609481.0,0.998164,0.0,2609482.0,476.3258963879198,3.0,3.0,True
88,one1hcww6sq0n0gttu7cfagjuspt5dd3kdxr9er65x,132.11879240291518,1305100.0,854.4734358031409,0.0,1304741.0,1345.5922282061074,20.0,23.0,True
89,one1vffq55ml2hpa3hjl3rdx4ncuewv69wcpgwpfqt,2854.021443925956,1304911.7839270001,1304742.000000911,0.0,2609482.0,3025.805371837225,20.0,37.0,True
90,one1zxgsey0qwxve6yjdedwhssdsnj25r37tnwfea9,0.0,0.0,0.7948258141919958,0.0,-17.0,17.794825814191995,3.0,6.0,True
