,address,current-reward,total-stake,balance,pending-undelegation,txs_sum,total-lifetime-reward,staking-transaction-count,normal-transaction-count,filter
0,one19day69t6zzqrk3yr5086v9892c9ajvkw84fegv,2670.757323723184,1304740.0,0.9999999999816032,0.0,1304741.0,2670.7573237230536,19,30,True
1,one1hz6ngvtmuxpygh59j8jtt3ef7esam0mtu8xkfz,1765.6691645725184,1304000.0,740.9999999969368,0.0,1304741.0,1765.66916456935,5,5,True
2,one1cqayh6zkwfa5u0u0kpl85k82wh5yk8hf579ax7,1699.3076579636238,1304739.99,1.0057048,0.0,1304741.0,1699.3033627637196,5,7,True
3,one1gnd8uks3qd94xx7nqq0f9st4m8v63egv6utk86,116.87569844664185,1306970.7960339999,0.45211603972996106,0.0,1304741.0,2347.123848486226,22,30,True
4,one1p7vywg0r72sle2gmt6gswev589029d8n86nhna,10771.416535515851,14486065.754718,6153.489024734206,0.0,14486205.0,16785.660278249532,104,131,True
5,one1yjdmmgswu9mlk75d7qsn2zghv7qw70kl38efgr,2101.6728415026387,1304730.998769,9.9993835,0.0,1304741.0,2101.670994002605,2,3,True
6,one14wpwfxquk8ed3d0dxnrl7mpt42wtkv8jfcgaae,16558.76506152362,10571980.343984,1.6560159791174,0.0,10571982.0,16558.765061503276,24,34,True
7,one1nrvqn9c39m6taxud3y8sgh80l94jlqc20h98fy,791.836501342655,1304672.1646780001,131.63326803330617,0.0,1304513.0,1082.634447376011,14,16,False
8,one1crh87npvru08thms387xjy5lnqa7yuet9mtv25,2799.7882409546655,2609480.799999,1.20000097362,0.0,2609482.0,2799.788240928203,42,43,True
9,one1z8yeptqappfnv5c7jamxwxcv9unglck89ja8ql,1658.684392473069,1300000.0,4740.999999998166,0.0,1304741.0,1658.684392471332,3,3,False
10,one1s366l90kv0x44tmtjgd6fv06npn8numm64f8j9,233.9313407382034,1306444.0,0.6315509211886176,0.0,1304741.0,1937.5628916593269,20,31,True
11,one1d8es8p4nwfp5jyqfs6q83rpnwscy5jl3f59e8q,1329.7126661579762,1304740.0,0.9999999999975456,0.0,1304741.0,1329.712666157866,3,4,True
12,one159h80syujml77x03mgd3p4ehck6pderfnazrkv,48.463332692554154,1221834.0,87882.52755397889,0.0,1304741.0,5023.990886671469,3200,3682,True
13,one1xnsj0cswcfchj9r2zv5rcdtflam6cazh5wa773,1512.154793697675,1304740.0,0.9963264,0.0,1304741.0,1512.1511200976092,6,6,False
14,one14m96r2npf0xexpas9ae50nwdn7lh6k72er6gme,1013.5947275899517,1295448.8550365001,9292.1339044,0.0,1304741.0,1013.5836684901733,16,18,False
15,one1qpx0nr0z35fes6yvwhdnq50fuyxd99le7nz8um,1093.5882602597164,1304740.0,0.9938766,0.0,1304741.0,1093.5821368596517,8,10,False
16,one1dsqz5qn8pv58nnudvnn0ngm6f9dr3d4t8dcvtn,3206.5076708915462,1304740.0,0.9999999706268999,0.0,1304741.0,3206.5076708621345,24,48,True
17,one1zfzjvnvt5xepxxepwaj0d8vammzaxfwlzjw77t,5322.225379656974,1304740.0,0.970565,0.0,1304741.0,5322.195944657084,31,48,True
18,one17nehdf5avp9y3s5fxv5pv87ca5kh3mpmt7zfe6,2955.366780024783,1304000.0,740.9999999871303,0.0,1304741.0,2955.3667800119147,12,21,True
19,one1aaguyteyga2g7skc49p2ckqntr0yn5dxs2ulwl,323.42815093471575,1306559.0,449.49112849560225,0.0,1304741.0,2590.9192794302944,30,42,True
20,one1dqmvf80f90fjsshuqfv86nak49ddy3qv3q3mct,366.25869894291634,1306683.0,0.9864656053416235,0.0,1304741.0,2309.2451645482797,30,41,True
21,one12x8y7cduz2a9hnvqcljkt4sw42lf0m9etleads,1182.8888298760298,1304740.0,0.9999999975488,0.0,1304741.0,1182.888829873642,4,4,True
22,one1hjs3dmpym260zf0yvgcwpchnz2eaaktjhazugw,86.67012973443639,1304740.0,2347.0252470007113,0.0,1304741.0,2432.6953767351806,12,16,True
23,one1rw5hldzr7ma0glt3s9dk75e5fd2x3yp22k54yg,1350.5214136287116,1304740.0,0.9999999981624,0.0,1304741.0,1350.5214136268478,3,3,True
24,one1hlf3nlcgrztskjzn3yh0ulgenunwwxtyqvl49k,26.962850690500773,1296000.0,11061.922288181191,0.0,1304741.0,2347.885138871614,82,112,True
25,one1nvapyk386agelz0pjqm8yr3n9pskdqd5cnk8qp,2320.4029431290423,0.0,0.9999999945561999,0.0,1.0,2320.4029431235986,4,9,True
26,one1jectu4pjx6p264qvpdugzal0wlnz20pke0e40f,145.99020381700524,1271811.0,33298.63834165719,0.0,1304741.0,514.628545474261,7,10,True
27,one1a2gxrlu0w8770p2jdz3sw4h3xw54xz8tex5gpd,449.68063454235477,1305684.0,69.75459965292308,0.0,1304741.0,1462.43523419532,79,123,True
28,one1dhrj68sw552tl62zlx3za8n2zve4rxq7sgvmts,6289.998592686608,1300000.424,3738.5759999855313,0.0,1303739.0,6289.998592672171,11,24,True
29,one1rx6uudmy2rqez3r56tc7q354k64ux6fw9x5yx3,271.58940626067925,504740.0,671.7005038831473,800890.0,1304741.0,1832.289910143707,16,26,True
30,one12a0a9t727hsrfwkcvygk50s5363v8fls9p0y80,730.8687526727167,1306374.327569,0.32061366570168615,0.0,1304741.0,2364.516935338266,17,22,True
31,one1jrdu9vfms79mg5v9emaupz8y628v556yvtxxpm,11441.20127592095,8720020.452076001,1853449.1218323414,0.0,10571982.0,12928.775184262544,18,25,True
32,one1zcsfkmet56ca38qpcqp7aqsc7v7k8e8f3fggna,2270.803872120333,2609000.0,481.99999998282874,0.0,2609482.0,2270.803872103337,16,28,True
33,one1u8xa0dw2754uwdhw5hssy5jud3qsuhnu72er6r,3201.600169467573,2609853.499359,150000.1820228578,0.0,2759482.0,3573.281551325228,23,35,True
34,one1v83msra6jfgyc09s2vgl0pl64855qxk6ku3lu6,3596.157418938659,2609481.0,0.9901935957144,0.0,2609482.0,3596.1476125344634,17,23,True
