,address,current-reward,total-stake,balance,pending-undelegation,txs_sum,total-lifetime-reward,staking-transaction-count,normal-transaction-count,filter
0,one19day69t6zzqrk3yr5086v9892c9ajvkw84fegv,2674.634451309375,1304740.0,0.9999999999816032,0.0,1304741.0,2674.634451309452,19,30,True
1,one1hz6ngvtmuxpygh59j8jtt3ef7esam0mtu8xkfz,1772.1276765034486,1304000.0,740.9999999969368,0.0,1304741.0,1772.1276765004732,5,5,True
2,one1cqayh6zkwfa5u0u0kpl85k82wh5yk8hf579ax7,1705.3911577923654,1304739.99,1.0057048,0.0,1304741.0,1705.386862592306,5,7,True
3,one1gnd8uks3qd94xx7nqq0f9st4m8v63egv6utk86,128.10736482961823,1306970.7960339999,0.45211603972996106,0.0,1304741.0,2358.3555148693267,22,30,True
4,one1p7vywg0r72sle2gmt6gswev589029d8n86nhna,10908.977700596555,14486065.754718,6153.489024734206,0.0,14486205.0,16923.22144333087,104,131,True
5,one1yjdmmgswu9mlk75d7qsn2zghv7qw70kl38efgr,2105.065224035713,1304730.998769,9.9993835,0.0,1304741.0,2105.0633765356615,2,3,True
6,one14wpwfxquk8ed3d0dxnrl7mpt42wtkv8jfcgaae,16664.027675794234,10571980.343984,1.6560159791174,0.0,10571982.0,16664.02767577395,24,34,True
7,one1crh87npvru08thms387xjy5lnqa7yuet9mtv25,2813.870539417264,2609480.799999,1.20000097362,0.0,2609482.0,2813.8705393909477,42,43,True
8,one1s366l90kv0x44tmtjgd6fv06npn8numm64f8j9,242.19168894759724,1306444.0,0.6315509211886176,0.0,1304741.0,1945.8232398687396,20,31,True
9,one1d8es8p4nwfp5jyqfs6q83rpnwscy5jl3f59e8q,1335.7010818799836,1304740.0,0.9999999999975456,0.0,1304741.0,1335.7010818799026,3,4,True
10,one159h80syujml77x03mgd3p4ehck6pderfnazrkv,56.54943461050593,1221834.0,87882.52755397889,0.0,1304741.0,5032.076988589484,3154,3682,True
11,one1dsqz5qn8pv58nnudvnn0ngm6f9dr3d4t8dcvtn,3219.403953649089,1304740.0,0.9999999706268999,0.0,1304741.0,3219.403953619767,24,48,True
12,one1zfzjvnvt5xepxxepwaj0d8vammzaxfwlzjw77t,5335.071775263632,1304740.0,0.970565,0.0,1304741.0,5335.042340263724,31,48,True
13,one17nehdf5avp9y3s5fxv5pv87ca5kh3mpmt7zfe6,2967.0657875776424,1304000.0,740.9999999871303,0.0,1304741.0,2967.0657875647303,12,21,True
14,one1aaguyteyga2g7skc49p2ckqntr0yn5dxs2ulwl,335.9605992833581,1306559.0,449.49112849560225,0.0,1304741.0,2603.4517277788837,30,42,True
15,one1dqmvf80f90fjsshuqfv86nak49ddy3qv3q3mct,377.3700729921309,1306683.0,0.9864656053416235,0.0,1304741.0,2320.3565385974944,30,41,True
16,one12x8y7cduz2a9hnvqcljkt4sw42lf0m9etleads,1188.6923881043358,1304740.0,0.9999999975488,0.0,1304741.0,1188.6923881019466,4,4,True
17,one1hjs3dmpym260zf0yvgcwpchnz2eaaktjhazugw,94.97988930735679,1304740.0,2347.0252470007113,0.0,1304741.0,2441.0051363080274,12,16,True
18,one1rw5hldzr7ma0glt3s9dk75e5fd2x3yp22k54yg,1353.9714423520857,1304740.0,0.9999999981624,0.0,1304741.0,1353.9714423501864,3,3,True
19,one1hlf3nlcgrztskjzn3yh0ulgenunwwxtyqvl49k,35.120072254278945,1296000.0,11061.922288181191,0.0,1304741.0,2356.042360435473,82,112,True
20,one1nvapyk386agelz0pjqm8yr3n9pskdqd5cnk8qp,2320.4029431290423,0.0,0.9999999945561999,0.0,1.0,2320.4029431235986,4,9,True
21,one1jectu4pjx6p264qvpdugzal0wlnz20pke0e40f,145.99020381700524,1271811.0,33298.63834165719,0.0,1304741.0,514.628545474261,7,10,True
22,one1a2gxrlu0w8770p2jdz3sw4h3xw54xz8tex5gpd,461.8167814371677,1305684.0,69.75459965292308,0.0,1304741.0,1474.571381089976,79,123,True
23,one1dhrj68sw552tl62zlx3za8n2zve4rxq7sgvmts,6300.979114515552,1300000.424,3738.5759999855313,0.0,1303739.0,6300.979114501271,11,24,True
24,one1rx6uudmy2rqez3r56tc7q354k64ux6fw9x5yx3,274.81528781388477,504740.0,671.7005038831473,800890.0,1304741.0,1835.515791696962,16,26,True
25,one12a0a9t727hsrfwkcvygk50s5363v8fls9p0y80,740.5412091721886,1306374.327569,0.32061366570168615,0.0,1304741.0,2374.189391837921,17,22,True
26,one1jrdu9vfms79mg5v9emaupz8y628v556yvtxxpm,11496.442374295963,8720020.452076001,1853449.1218323414,0.0,10571982.0,12984.016282638535,18,25,True
27,one1zcsfkmet56ca38qpcqp7aqsc7v7k8e8f3fggna,2277.5874359638697,2609000.0,481.99999998282874,0.0,2609482.0,2277.5874359468,16,28,True
28,one1u8xa0dw2754uwdhw5hssy5jud3qsuhnu72er6r,3219.810086810625,2609853.499359,150000.1820228578,0.0,2759482.0,3591.4914686684497,23,35,True
29,one1v83msra6jfgyc09s2vgl0pl64855qxk6ku3lu6,3607.59711849077,2609481.0,0.9901935957144,0.0,2609482.0,3607.5873120864853,17,23,True
30,one1srnyl8sfak3reycyhkpydqh796yp95pl7z44d3,1044.775619620355,1304961.304619,1.000000715843376,0.0,1304741.0,1266.0802393362392,6,8,True
31,one14vxx9pmm9ay7vw07fvwwrmhyladvgp6fs8m22j,2130.6068961747965,1304730.999999,10.0000009932502,0.0,1304741.0,2130.6068961680867,9,11,True
32,one1yjr37dgdp4wk8jnwz2w89ugvzvmutae6zylcst,87.31389182499703,1304736.999999,299.6020737081138,0.0,1303587.0,1536.9159645331092,6,8,True
33,one1j0w44dqdgk8krtvvyjzqk5shztxl645t87cpdn,117.88475564181769,1304741.0,2302.16588717881,0.0,1304741.0,2420.050642820541,31,44,True
34,one1vr56495s4n452vhsze44ryr539n0373tpp6662,2423.2373197946167,1304739.0,1.9999999957064,0.0,1304741.0,2423.2373197902925,5,7,True
35,one16nel20zdvfwnpvgc08kwrdhjvzjdztkzxujlsl,2204.372616098503,1304739.0,1.9999999944776,0.0,1304741.0,2204.3726160929073,6,9,True
36,one1zkgc7un5nyn74j3mquv263s8wxrpjeawanf0se,71.23631519044278,1104000.0,102707.77573201453,99999.99999999999,1304741.0,2038.0120472048875,15,23,True
37,one1sct5fqcaq44t5ygmpuhwq24qd3q35fqmxu4p5m,435.70235781977374,2611007.1249989998,0.6608044222285386,0.0,2609482.0,1961.4881612416357,8,10,True
38,one1cwek8ffkxw0yypnf2lhhu8n2gqufjdynj0j8ug,455.53059201507983,2610792.8,3.0294161164002564,0.0,2609482.0,1769.360008131247,7,9,True
